iter	Passed	Remaining
407	5619	8153
408	5634	8141
409	5649	8129
410	5663	8116
411	5679	8106
412	5693	8092
413	5709	8081
414	5723	8068
415	5739	8057
416	5754	8045
417	5770	8034
418	5784	8021
419	5799	8009
420	5815	7997
421	5830	7985
422	5845	7973
423	5859	7960
424	5875	7949
425	5891	7938
426	5905	7924
427	5919	7911
428	5934	7898
429	5948	7885
430	5962	7872
431	5978	7860
432	5993	7848
433	6007	7835
434	6022	7821
435	6036	7808
436	6051	7796
437	6065	7783
438	6081	7771
439	6095	7758
440	6112	7747
441	6125	7732
442	6138	7718
443	6153	7705
444	6168	7692
445	6182	7679
446	6198	7668
447	6211	7653
448	6225	7639
449	6240	7627
450	6255	7614
451	6270	7602
452	6285	7589
453	6299	7576
454	6314	7563
455	6329	7550
456	6342	7536
457	6356	7522
458	6372	7510
459	6386	7497
460	6401	7484
461	6415	7471
462	6431	7459
463	6445	7446
464	6459	7432
465	6473	7418
466	6488	7405
467	6503	7392
468	6519	7381
469	6535	7370
470	6550	7356
471	6565	7344
472	6579	7331
473	6594	7318
474	6610	7306
475	6626	7294
476	6644	7284
477	6658	7271
478	6673	7258
479	6689	7246
480	6705	7235
481	6722	7224
482	6736	7210
483	6749	7196
484	6764	7183
485	6778	7169
486	6793	7156
487	6809	7143
488	6825	7132
489	6841	7120
490	6856	7107
491	6871	7094
492	6884	7080
493	6899	7067
494	6913	7053
495	6929	7041
496	6945	7029
497	6960	7016
498	6975	7003
499	6990	6990
500	7005	6977
501	7020	6964
502	7034	6950
503	7047	6935
504	7064	6924
505	7080	6912
506	7095	6899
507	7110	6886
508	7125	6873
509	7139	6859
510	7153	6845
511	7167	6831
512	7181	6817
513	7194	6802
514	7210	6790
515	7223	6775
516	7238	6762
517	7255	6751
518	7271	6738
519	7286	6726
520	7301	6712
521	7316	6699
522	7332	6687
523	7346	6673
524	7361	6660
525	7376	6647
526	7393	6635
527	7408	6622
528	7422	6608
529	7436	6594
530	7451	6581
531	7467	6569
532	7482	6556
533	7499	6544
534	7513	6530
535	7528	6517
536	7542	6503
537	7556	6489
538	7571	6476
539	7587	6463
540	7602	6449
541	7616	6436
542	7631	6422
543	7645	6408
544	7658	6393
545	7670	6378
546	7685	6364
547	7700	6351
548	7714	6337
549	7731	6325
550	7746	6312
551	7761	6299
552	7776	6286
553	7791	6272
554	7806	6259
555	7820	6245
556	7837	6233
557	7852	6219
558	7867	6206
559	7882	6193
560	7896	6179
561	7912	6166
562	7927	6153
563	7943	6141
564	7957	6126
565	7972	6113
566	7987	6099
567	8001	6085
568	8017	6073
569	8031	6059
570	8046	6045
571	8061	6031
572	8076	6018
573	8091	6005
574	8105	5991
575	8121	5978
576	8138	5966
577	8153	5953
578	8169	5939
579	8184	5926
580	8198	5912
581	8214	5899
582	8230	5886
583	8244	5872
584	8258	5858
585	8273	5845
586	8288	5831
587	8303	5818
588	8318	5804
589	8333	5791
590	8348	5777
591	8362	5763
592	8375	5748
593	8389	5734
594	8404	5720
595	8419	5706
596	8434	5693
597	8450	5680
598	8465	5667
599	8481	5654
600	8496	5640
601	8511	5627
602	8528	5614
603	8544	5601
604	8558	5587
605	8573	5573
606	8586	5559
607	8600	5545
608	8616	5531
609	8631	5518
610	8646	5505
611	8662	5491
612	8677	5478
613	8693	5465
614	8706	5450
615	8720	5435
616	8737	5423
617	8754	5411
618	8770	5398
619	8787	5385
620	8804	5373
621	8820	5360
622	8836	5347
623	8850	5333
624	8866	5319
625	8880	5305
626	8895	5291
627	8909	5277
628	8924	5263
629	8939	5250
630	8954	5236
631	8970	5223
632	8985	5209
633	9000	5195
634	9014	5181
635	9029	5167
636	9043	5153
637	9058	5139
638	9075	5126
639	9089	5113
640	9104	5099
641	9120	5085
642	9136	5072
643	9152	5059
644	9167	5045
645	9181	5031
646	9195	5017
647	9209	5002
648	9225	4989
649	9240	4975
650	9253	4960
651	9265	4945
652	9281	4931
653	9296	4918
654	9311	4904
655	9325	4890
656	9342	4877
657	9357	4863
658	9371	4849
659	9387	4835
660	9401	4821
661	9415	4807
662	9431	4794
663	9446	4780
664	9462	4766
665	9478	4753
666	9494	4740
667	9510	4726
668	9524	4712
669	9539	4698
670	9555	4685
671	9570	4671
672	9585	4657
673	9601	4644
674	9616	4630
675	9631	4616
676	9645	4602
677	9660	4588
678	9676	4574
679	9691	4560
680	9706	4546
681	9724	4534
682	9741	4521
683	9757	4507
684	9772	4494
685	9785	4479
686	9799	4464
687	9814	4450
688	9828	4436
689	9843	4422
690	9858	4408
691	9873	4394
692	9887	4380
693	9903	4366
694	9917	4352
695	9932	4338
696	9947	4324
697	9962	4310
698	9977	4296
699	9991	4282
700	10006	4268
701	10023	4254
702	10037	4240
703	10052	4226
704	10068	4213
705	10084	4199
706	10099	4185
707	10116	4172
708	10133	4159
709	10149	4145
710	10165	4131
711	10180	4117
712	10195	4103
713	10209	4089
714	10224	4075
715	10240	4061
716	10255	4047
717	10272	4034
718	10289	4021
719	10304	4007
720	10320	3993
721	10334	3979
722	10350	3965
723	10365	3951
724	10380	3937
725	10395	3923
726	10410	3909
727	10425	3895
728	10440	3880
729	10456	3867
730	10471	3853
731	10486	3839
732	10499	3824
733	10514	3810
734	10528	3795
735	10546	3782
736	10562	3769
737	10578	3755
738	10593	3741
739	10609	3727
740	10623	3713
741	10639	3699
742	10656	3685
743	10672	3672
744	10688	3658
745	10704	3644
746	10720	3630
747	10736	3616
748	10751	3602
749	10768	3589
750	10784	3575
751	10801	3562
752	10818	3548
753	10837	3535
754	10854	3522
755	10873	3509
756	10889	3495
757	10906	3481
758	10921	3467
759	10937	3453
760	10952	3439
761	10969	3426
762	10984	3412
763	11000	3398
764	11015	3383
765	11030	3369
766	11045	3355
767	11060	3341
768	11075	3327
769	11093	3313
770	11110	3300
771	11126	3286
772	11141	3271
773	11157	3257
774	11171	3243
775	11187	3229
776	11202	3215
777	11218	3201
778	11232	3186
779	11247	3172
780	11262	3158
781	11277	3143
782	11293	3129
783	11307	3115
784	11318	3100
785	11332	3085
786	11347	3071
787	11365	3057
788	11383	3044
789	11399	3030
790	11414	3015
791	11429	3001
792	11445	2987
793	11460	2973
794	11475	2959
795	11491	2944
796	11508	2931
797	11524	2917
798	11540	2903
799	11555	2888
800	11570	2874
801	11585	2860
802	11599	2845
803	11614	2831
804	11629	2817
805	11644	2802
806	11660	2788
807	11676	2774
808	11690	2760
809	11705	2745
810	11721	2731
811	11737	2717
812	11753	2703
813	11768	2689
814	11783	2674
815	11799	2660
816	11815	2646
817	11833	2632
818	11850	2618
819	11864	2604
820	11879	2590
821	11896	2576
822	11913	2562
823	11929	2548
824	11945	2533
825	11959	2519
826	11972	2504
827	11986	2490
828	12001	2475
829	12016	2461
830	12032	2447
831	12047	2432
832	12061	2418
833	12077	2403
834	12095	2390
835	12111	2375
836	12127	2361
837	12143	2347
838	12160	2333
839	12176	2319
840	12193	2305
841	12209	2291
842	12225	2276
843	12241	2262
844	12259	2248
845	12274	2234
846	12290	2220
847	12307	2206
848	12322	2191
849	12338	2177
850	12355	2163
851	12369	2148
852	12383	2134
853	12398	2119
854	12414	2105
855	12430	2091
856	12445	2076
857	12461	2062
858	12476	2047
859	12490	2033
860	12505	2018
861	12520	2004
862	12534	1989
863	12549	1975
864	12564	1960
865	12578	1946
866	12593	1931
867	12610	1917
868	12624	1903
869	12640	1888
870	12654	1874
871	12670	1859
872	12686	1845
873	12701	1831
874	12715	1816
875	12730	1802
876	12745	1787
877	12759	1773
878	12776	1758
879	12790	1744
880	12806	1729
881	12820	1715
882	12835	1700
883	12849	1686
884	12865	1671
885	12883	1657
886	12898	1643
887	12914	1628
888	12931	1614
889	12948	1600
890	12966	1586
891	12980	1571
892	12995	1557
893	13011	1542
894	13027	1528
895	13041	1513
896	13056	1499
897	13072	1484
898	13087	1470
899	13101	1455
900	13115	1441
901	13129	1426
902	13144	1411
903	13158	1397
904	13174	1382
905	13189	1368
906	13203	1353
907	13218	1339
908	13231	1324
909	13246	1310
910	13260	1295
911	13276	1281
912	13291	1266
913	13306	1252
914	13320	1237
915	13336	1222
916	13350	1208
917	13365	1193
918	13380	1179
919	13398	1165
